Image Number,AISS,Neural Network,k-NN,SVM,Random Forest,k-NN no HOG,SVM no HOG,Random Forest no HOG,CNN,ResNet,MobileNetV2,AAConverter
1,0.72367656,0.73445666,0.8080756,0.80731606,0.8382014,0.81462514,0.80592453,0.8443495,0.8154054,0.74512875,0.7498961,0.63613105
2,0.66297936,0.739949,0.79190016,0.75486904,0.75486904,0.79495376,0.7812493,0.7812493,0.78561467,0.77329844,0.76565474,0.58985424
3,0.7328955,0.7902379,0.77957046,0.8069885,0.8123212,0.8079154,0.78616285,0.82697666,0.8120666,0.79760367,0.77855605,0.74498767
4,0.72378576,0.81231105,0.85978526,0.858758,0.87388045,0.85374725,0.78065526,0.83198315,0.85961586,0.8412188,0.8016253,0.6407207
5,0.6460599,0.7109994,0.75834906,0.7560165,0.7805877,0.777581,0.7301746,0.76520115,0.6460599,0.75675774,0.71389294,0.634705
6,0.650758,0.6777129,0.6919806,0.7193206,0.7526772,0.6932724,0.66557026,0.77564895,0.763317,0.70629966,0.68312204,0.64911884
7,0.66179204,0.7018548,0.7261033,0.73346376,0.7625438,0.7768093,0.7239983,0.77609855,0.7842334,0.717244,0.71179223,0.672016
8,0.6840571,0.7321267,0.74023247,0.7667093,0.7805735,0.7674112,0.72345984,0.76176035,0.7604135,0.72000414,0.7224865,0.7174877
10,0.70059395,0.7011624,0.70561886,0.7121937,0.74002385,0.75268686,0.6998562,0.7536098,0.78353393,0.71698034,0.71698034,0.6634279
10,0.70059395,0.7011624,0.70561886,0.7121937,0.74002385,0.75268686,0.6998562,0.7536098,0.78353393,0.71698034,0.71698034,0.6634279
11,0.5920252,0.6168003,0.662439,0.637063,0.6604807,0.6215819,0.66242695,0.67303246,0.7232875,0.60851204,0.6191803,0.5951168
12,0.77276427,0.7839159,0.7914543,0.8421797,0.8376018,0.8466637,0.84530616,0.8869931,0.8364817,0.8244123,0.8078305,0.649487
13,0.6266159,0.64516735,0.6682162,0.69192195,0.69529855,0.69349736,0.6177504,0.7038635,0.73068947,0.6368025,0.655758,0.5844727
14,0.71656996,0.7149421,0.7765999,0.7745167,0.7840131,0.79292333,0.7483151,0.81224996,0.7899363,0.75001526,0.7563589,0.6681125
15,0.71662414,0.7416346,0.76926637,0.7679802,0.8017209,0.784935,0.7564392,0.793496,0.7904904,0.78377175,0.75559914,0.6163526
16,0.65789443,0.6547245,0.7013306,0.68243396,0.70559615,0.692618,0.6445632,0.72666144,0.71262085,0.6671001,0.6795422,0.6218853
18,0.6029486,0.7001288,0.7036035,0.66793,0.7105424,0.6778565,0.6702902,0.64621574,0.78885245,0.74368715,0.6708708,0.561992
19,0.60832906,0.6951395,0.651886,0.72271615,0.723144,0.72270226,0.6929496,0.71843636,0.7135364,0.66930854,0.64182615,0.627509
20,0.6624782,0.6649062,0.7339189,0.7552204,0.7552204,0.75000197,0.75525016,0.75525016,0.710094,0.6907187,0.6547529,0.58998513
