Image Number,AISS,Neural Network,k-NN,SVM,Random Forest,k-NN no HOG,SVM no HOG,Random Forest no HOG,CNN,ResNet,MobileNetV2,AAConverter
1,0.780742248769059,0.7616595384816782,0.7834113215657353,0.7709662410311432,0.7765382961769538,0.7822491623729726,0.7650516013734041,0.7887266974641473,0.7813307833985881,0.760545071268727,0.7609794902726437,0.7702044660639488
2,0.5719595007023267,0.5906126209746353,0.6058299192083189,0.57449343422454,0.57449343422454,0.5997727041615643,0.5936361779788315,0.5936361779788315,0.6244183262658887,0.5782327602213011,0.5742531535871679,0.546052791675594
3,0.7420719829181962,0.7052578282246418,0.7165349312353894,0.6948053255277118,0.7153080630188604,0.7094265621704299,0.6933217297575852,0.7185354047456248,0.7328189901613595,0.6998061322342167,0.7001179020150161,0.6824232332077261
6,0.48120247418373663,0.4191752499416672,0.47755334417812273,0.4487671963055727,0.4634424783287887,0.4777321917688251,0.4288547080086663,0.495991531766517,0.4671383490413854,0.4364042340887615,0.4145283206895896,0.3931982634909779
7,0.7857229575249299,0.7447309170261065,0.7519798295057712,0.7472337936292097,0.7492653428380914,0.7531005898030104,0.7458250304725188,0.7517732467683607,0.7668611099405757,0.7450683356898449,0.7397975605152068,0.7312032829025227
8,0.608197692547171,0.5812746370975843,0.643258873925299,0.6184900280820913,0.6415345392305977,0.6323794875223113,0.6267966926437497,0.6498783329721155,0.61926841993451,0.6222756765797425,0.5862645419117972,0.6188472408502961
4,0.6070750756273969,0.5551179868052789,0.5979995244122107,0.5720743307987697,0.5911932022745285,0.6015980928894233,0.5551954432148414,0.5509406433937158,0.5983493903597882,0.5480626926109446,0.5448829077030386,0.5572501960842854
5,0.6403109688199756,0.6068979567298388,0.6339456296386169,0.6054968411325745,0.6165851003288434,0.6284273066295372,0.6221586849391215,0.6399932356100649,0.6403109688199756,0.6036719235701492,0.6009253027723023,0.5894045566247225
9,0.7855329057828138,0.7626388769327034,0.7780875425748014,0.756949801071601,0.7604016418134608,0.7689727430963404,0.7612951505796511,0.7749839270437646,0.776475720355864,0.7551046442965055,0.7541681181110003,0.758253837710943
10,0.7147536266506068,0.7009462972182047,0.7059481443184977,0.7010509170190314,0.6895194127656263,0.715014895465592,0.7155011884435976,0.7056908732560195,0.7297982963777224,0.7055282553564048,0.7055282553564048,0.7039791016584249
11,0.7520473530374958,0.6985257563590602,0.7232154460152327,0.7188335370760578,0.7242270893656481,0.7085077700102965,0.732231191571329,0.7350844821148085,0.7312365875046954,0.6985236497869569,0.7022244292690643,0.6984568533959556
12,0.6501939866369422,0.5907459026529455,0.6084886396111144,0.5996780261883025,0.5915893190182995,0.6251201515743438,0.6211241068044308,0.6260862610013171,0.6255567729850483,0.6045488790916278,0.60391056528177,0.6405702407236458
13,0.6807252854941048,0.6360115839577971,0.6829952794094012,0.6651307811156822,0.6817283559477944,0.6891863040582178,0.6554263205591361,0.6798934325765741,0.6742893151001468,0.6510373429918721,0.6495346499087409,0.6364805483909631
14,0.6751623516270057,0.613194283243299,0.667036723873892,0.6542809899432567,0.6616530935796707,0.6240781997162093,0.6016525409669254,0.6694990035735586,0.624868923927932,0.6194776618933905,0.6362751239893677,0.659676787427952
15,0.6951080001584061,0.665179498446093,0.6731203979036693,0.6766858055613354,0.6849737756576358,0.6995969665766538,0.6781492204315027,0.7065501454936395,0.6707057143089861,0.6729379687214578,0.6583380220628878,0.6131875463076272
16,0.6024722971357509,0.5694361505339771,0.6033617135431544,0.5754120639968822,0.599677559000589,0.6009706921406086,0.5869959564526203,0.6086652927606592,0.6037081793695604,0.5772295962259043,0.5792310935923795,0.5581961401426678
18,0.4021057997014877,0.3678729765754389,0.3980093441159576,0.3646643993092686,0.388318331179491,0.4007076662804973,0.3728409899428612,0.38929714773165325,0.40911082519051406,0.3156217226839468,0.36004965681527984,0.3150235053859641
19,0.7148555569082508,0.7075999646047137,0.7471035557213647,0.7067290438567926,0.7123110814450391,0.7214687090237077,0.7111982781508513,0.7398750694024834,0.7246198425395222,0.7054257886576474,0.6695916598604043,0.7235417197401789
20,0.805067385105523,0.7725894648348078,0.8196894848201292,0.8194534780639321,0.8194534780639321,0.8008560531501361,0.8182494207950912,0.8182494207950912,0.8110758960287007,0.7912882865957394,0.7925395577850649,0.8067031381685715
